date;letter_code;rate;open;min;max
2020-05-19;JPY;0.68;0.57;0.39;1.19
2020-05-20;JPY;0.67;0.86;0.58;0.78
2020-05-21;JPY;0.67;0.06;0.04;11.17
2020-05-22;JPY;0.66;0.53;0.35;1.25
2020-05-23;JPY;0.67;0.73;0.49;0.92
2020-05-24;JPY;0.67;0.21;0.14;3.19
2020-05-25;JPY;0.67;0.49;0.33;1.37
2020-05-26;JPY;0.66;0.65;0.43;1.02
2020-05-27;JPY;0.66;0.41;0.27;1.61
2020-05-28;JPY;0.66;0.36;0.24;1.83
2020-05-29;JPY;0.66;0.72;0.48;0.92
2020-05-30;JPY;0.66;0.91;0.6;0.73
2020-05-31;JPY;0.66;0.73;0.48;0.9
2020-06-01;JPY;0.66;0.75;0.5;0.88
2020-06-02;JPY;0.65;0.44;0.29;1.48
2020-06-03;JPY;0.64;0.38;0.24;1.68
2020-06-04;JPY;0.63;0.43;0.27;1.47
2020-06-05;JPY;0.63;0.83;0.52;0.76
2020-06-06;JPY;0.63;0.89;0.56;0.71
2020-06-07;JPY;0.63;0.06;0.04;10.5
2020-06-08;JPY;0.63;0.04;0.03;15.75
2020-06-09;JPY;0.62;0.82;0.51;0.76
2020-06-10;JPY;0.64;0.86;0.55;0.74
2020-06-11;JPY;0.64;0.41;0.26;1.56
2020-06-12;JPY;0.65;0.51;0.33;1.27
2020-06-13;JPY;0.65;0.76;0.49;0.86
2020-06-14;JPY;0.65;0.26;0.17;2.5
2020-06-15;JPY;0.65;0.82;0.53;0.79
2020-06-16;JPY;0.66;0.38;0.25;1.74
2020-06-17;JPY;0.65;0.54;0.35;1.2
2020-06-18;JPY;0.65;0.4;0.26;1.62
2020-06-19;JPY;0.65;0.17;0.11;3.82
2020-06-20;JPY;0.65;0.65;0.42;1.0
2020-06-21;JPY;0.65;0.93;0.6;0.7
2020-06-22;JPY;0.65;0.71;0.46;0.92
2020-06-23;JPY;0.65;0.19;0.12;3.42
2020-06-24;JPY;0.64;0.75;0.48;0.85
2020-06-25;JPY;0.65;0.08;0.05;8.12
2020-06-26;JPY;0.65;0.04;0.03;16.25
2020-06-27;JPY;0.65;0.73;0.47;0.89
2020-06-28;JPY;0.65;0.04;0.03;16.25
2020-06-29;JPY;0.65;0.99;0.64;0.66
2020-06-30;JPY;0.65;0.41;0.27;1.59
2020-07-01;JPY;0.65;0.55;0.36;1.18
2020-07-02;JPY;0.66;0.2;0.13;3.3
2020-07-03;JPY;0.66;0.27;0.18;2.44
2020-07-04;JPY;0.66;0.29;0.19;2.28
2020-07-05;JPY;0.66;0.15;0.1;4.4
2020-07-06;JPY;0.66;0.45;0.3;1.47
2020-07-07;JPY;0.66;0.14;0.09;4.71
2020-07-08;JPY;0.67;0.75;0.5;0.89
2020-07-09;JPY;0.66;0.93;0.61;0.71
2020-07-10;JPY;0.66;0.61;0.4;1.08
2020-07-11;JPY;0.67;0.18;0.12;3.72
2020-07-12;JPY;0.67;0.68;0.46;0.99
2020-07-13;JPY;0.67;0.04;0.03;16.75
2020-07-14;JPY;0.66;0.35;0.23;1.89
2020-07-15;JPY;0.66;0.81;0.53;0.81
2020-07-16;JPY;0.66;0.13;0.09;5.08
2020-07-17;JPY;0.67;0.33;0.22;2.03
2020-07-18;JPY;0.67;0.99;0.66;0.68
2020-07-19;JPY;0.67;0.81;0.54;0.83
2020-07-20;JPY;0.67;0.26;0.17;2.58
2020-07-21;JPY;0.67;0.88;0.59;0.76
2020-07-22;JPY;0.66;0.61;0.4;1.08
2020-07-23;JPY;0.66;0.7;0.46;0.94
2020-07-24;JPY;0.66;0.8;0.53;0.82
2020-07-25;JPY;0.67;0.35;0.23;1.91
2020-07-26;JPY;0.67;0.81;0.54;0.83
2020-07-27;JPY;0.67;0.87;0.58;0.77
2020-07-28;JPY;0.68;0.58;0.39;1.17
2020-07-29;JPY;0.68;0.28;0.19;2.43
2020-07-30;JPY;0.69;0.14;0.1;4.93
